LMDC,Current Sort Centre,New Sort Centre,Current Sort Code,New Sort Code
AR1,BLFS,KCHS,S2/BLFS/B11/AR1,S2/KCHS/E6/AR1
MNT,CIS,KCHS,S2/CIS/G21/MNT,S2/KCHS/E7/MNT
KX4,CIS,KCHS,S2/CIS/E2/KX4,S2/KCHS/E8/KX4
DKV,CIS,KCHS,S2/CIS/F18/DKV,S2/KCHS/E9/DKV
C4D,IMS,KCHS,S2/IMS/G8/C4D,S2/KCHS/H16/C4D
B25,KDPS,KCHS,S2/KDPS/D11/B25,S2/KCHS/H12/B25
CTO,KDPS,KCHS,S2/KDPS/D12/CTO,S2/KCHS/H13/CTO
GCA,KDPS,KCHS,S2/KDPS/D8/GCA,S2/KCHS/H14/GCA
YMR,KDPS,KCHS,S2/KDPS/D10/YMR,S2/KCHS/H15/YMR
MSJ,IMS,CTS,S2/IMS/G10/MSJ,S2/CTS/I1/MSJ
QQL,IMS,CTS,S2/IMS/D20/QQL,S2/CTS/I4/QQL
TY5,IMS,CTS,S2/IMS/G12/TY5,S2/CTS/I5/TY5
PE6,IMS,CTS,S2/IMS/G14/PE6,S2/CTS/I6/PE6
RHN,IMS,CTS,S2/IMS/G13/RHN,S2/CTS/I7/RHN
TVP,IMS,KCHS,S2/IMS/G24/TVP,S2/KCHS/H6/TVP
